country,name,lat,lon,notes
Netherlands,"Prepositioned Stocks Eygelshoven, NL",50.9,6.05,Armored Brigade Combat Team material
Netherlands,"Rotterdam	Netherlands",51.924216,4.481776,
Netherlands,"Complex Vriezenveen, Almelo",52.411667,6.625556,prepo
Netherlands Antilles (Curacao),"Curacao	Netherlands Antilles",12.122422,-68.882423,"Cooperative security location"" on island that is part of the Netherlands has about 115 permanent"," 250 temporary personnel shared with Aruba.""""Cooperative security location"" on island that is part of the Netherlands has about 115 permanent"," 250 temporary personnel shared with Aruba.""""ooperative security location"" on island that is part of the Netherlands has about 115 permanent"," 250 temporary""""operative security location"" on island that is part of the Netherlands has about """"perative security location"" on island that is part of""""erative security location""""""""",
Niger,Niamey airport,13.481667,2.170278,"Surveillance drone base hosting about 120 troops outside capital, Niamey.  "
Niger,Agadez,,,"Agadez, a Saharan desert city, hosts 2nd surveillance drone base in Niger, used to track militants.  "
Northern Mariana Is,Rota,14.153611,145.203056,
Norway,Bardufoss,69.064444,18.515,
Pakistan,Shahbaz/Jacobabad,28.284538,68.457576,"Shahbaz/Jacobabad, 1 of several secret drone bases. "
Pakistan,Chaklala,30.309338,72.499626,"Chaklala, 1 of several secret drone bases. "
Pakistan,Tarbela,34.089311,72.699284,"Tarbela, 1 of several secret drone bases. "
Pakistan,Peshawar,34.014627,71.571293,"Peshawar, 1 of several secret drone bases.  "
Pakistan,Dalbandin,28.886988,64.399281,"Dalbandin, 1 of several secret drone bases. "
Pakistan,Pasni,25.29506,63.347172,"Pasni, 1 of several secret drone bases. "
Pakistan,Islamabad,33.70346,73.083701,"Islamabad, 1 of several secret drone bases. "
Peru,"IMF Santa Rosa, Iquitos",-3.744344,-73.26131,Navy Med Research Unit-6 (funding for warehouse=same or additional site? Not named in BSR)
Philippines,"Camp Navarro, Zamboanga City , Mindanao (JSOTF-P)",6.952438,122.126041,"Despite ban on permanent"" foreign troops since 1992 U.S. eviction"," growing U.S. presence in Mindanao since 2001. """"espite ban on ""permanent"" foreign troops since 1992 U.S. eviction"," growing U.S. presence in Mindan""""spite ban on ""permanent"" foreign troops since 1992 U.S. eviction"," growing U.S. pres""""pite ban on ""permanent"" foreign troops since 1992 U.S. eviction"," grow""""ite ban on ""permanent"" foreign troops since 1992 U.S. ev""""te ban on ""permanent"" foreign troops since 1""""e ban on ""permanent"" foreign troo"""" ban on ""permanent"" for""""ban on ""perman""""an on """
Philippines,Subic,14.822702,120.276508,"U.S. evicted from Subic Bay, other major bases in 1992; U.S. troops have growing access recently."
Philippines,Clark,15.186718,120.558402,"U.S. evicted from Clark, other major bases in 1992; U.S. troops have growing access recently."
Philippines,"SF FOB Jolo, Sulu (CSL)",6.056479,121.012845,Special forces Forward Operating Base Jolo in Sulu is 1 of several bases now used by U.S. troops. 
Philippines,"Camp inside Camp Aguinaldo, Manila",14.583333,120.966667,Camp within Philippines military base as part of U.S. buildup since 2001 to combat insurgents. 
Philippines,Archipelago,6,121,"Since 2001, at least 600 U.S. troops have combatted insurgents from lily pads; 6,000 present during military exercises."
Philippines,"Camp Malagutay, Basilan ",6.625985,121.942116,Camp Malagutay in Basilan is 1 of several bases now used by U.S. troops to combat insurgents.  
Poland,Lask AB,51.585028,19.150211,"Lask Air Base, home to several hundred military personnel, F-16 fighters, C-130 cargo planes since 2012. "
Poland,Redzikowo,54.473308,17.111021,Redzikowo will host a missile defense base with activation planned for 2018.
Romania,Cincu Training Base,45.916667,24.8,"Cincu Training Center, other bases in Romania have hosted U.S. forces since at least 2007."
Romania,Smardan Training base,45.48333,27.933333,"Smardan Training Area, other bases in Romania have hosted U.S. forces since at least 2007."
Saudi Arabia,"Eskan Village, Saudi Arabia",24.566667,46.85,
Saudi Arabia,"Drone base in east, near Yemen",18.921052,49.838443,drones
Saudi Arabia,"Dammam, Saudi Arabia",26.283333,50.2,prepo/training
Saudi Arabia,"Dhahran AB, Saudi Arabia",26.265278,50.151944,prepo/training
Saudi Arabia,"Jeddah, Saudi Arabia",21.543333,39.172778,prepo/training
Saudi Arabia,"Jubail, Saudi Arabia",27,49.666667,prepo/training
Saudi Arabia,"Yanbu, Saudi Arabia",24.083333,38,prepo/training
Saudi Arabia,Khamis,,,training mission 
Saudi Arabia,Taif,,,training mission 
Saudi Arabia,Tabuk,,,training mission 
Senegal,Dakar,14.728252,-17.457471,Dakar site for rapid reaction forces grew into Ðintermediate staging baseÓ during Ebola epidemic.
Seychelles,Mahe International Airport,-4.674344,55.521853,"Reaper hunter-killer drones located at international airport on Mahe; crashes have alarmed locals. Still in use?"
Singapore,Singapore,1.352083,103.81984,"Smaller, 2nd site in Singapore after a lily pad grew into a more significant base. "
Somalia,Baledogle Airfield,2.670833,44.793056,1 of 2 recently revealed secret drone/special operations outpost to combat al-Shabab militants. Site of an abandoned Cold War-era Air Force base in Somalias sun-blasted Lower Shabelle region
Somalia,Kismayo,-0.354741,42.546444,1 of 2 recently revealed secret drone/special operations outpost to combat al-Shabab militants. 
South Sudan,Nzara,4.633437,28.254596,"Nzara, a special operations outpost. "
Spain,Spain,40.463667,-3.74922,
Spain,?,36.62629,-6.362981,
Thailand,U-Tapao,12.68174,100.998486,"Utapao Naval Air Base, where military rents space from contractor; major logistics hub for Iraq, Afghan wars."
Thailand,naval base [loc?],12.244391,102.39321,"Thai naval base military has used as major logistics hub for Iraq, Afghan wars."
Tunisia,"CK: Mount Chaambi, Kasserine",35.217949,8.748524,At least 2-4 more according to http://www.echoroukonline.com/ara/articles/189953.html
Turkey,Izmir?,38.41885,27.12872,
Turkey,Incirlik?,37.001924,35.425461,
Uganda,Entebbe,0.047072,32.445657,Classified location in Entebbe for special operations forces tracking Joseph Kony's Lords Resistance Army.
Uganda,Singo Training School,-0.800173,31.498282,"U.S. contractors, military advisers have been training African Union troops at Singo Training School, near Kampala, to fight in Somalia."
United Kingdom,"Mildenhall	United Kingdom",52.344421,0.510947,
United Kingdom,"Thetford	United Kingdom",52.412856,0.751657,
Virgin Islands,St. Thomas?,18.2,-64.55,
Wake Island,Wake Island,19.18,166.38,"Seized in 1898 Spanish-American War, now a launch facility in Army Strategic and Missile Defense Command."
Peru,"Lima	Peru",-12.047816,-77.062203,Naval Medical Research Center with locations in Lima and Iquitos provides infectious disease research/surveillance. 
"Congo, Democratic Republic Of The",Dungu,3.62564,28.560977,Special Ops site
Germany,Trier Germany,49.746883,6.634751,
Germany,Trier Germany,49.746883,6.634751,
Germany,Vilseck Germany,49.610007,11.806215,
Germany,Vilseck Germany,49.610007,11.806215,
Germany,Wackernheim Germany,49.973643,8.118423,
Germany,Wackernheim Germany,49.973643,8.118423,
Germany,Weilerbach Germany,49.481389,7.632222,
Germany,Weisskirchen Germany,49.555611,6.818959,
Germany,Wiesbaden Germany,50.06308,8.243344,
Germany,Wiesbaden Germany,50.06308,8.243344,
Germany,Wiesbaden Germany,50.06308,8.243344,
Germany,Wiesbaden Germany,50.06308,8.243344,
Germany,Wiesbaden Germany,50.06308,8.243344,
Germany,Wiesbaden Germany,50.06308,8.243344,
Germany,Wiesbaden Germany,50.06308,8.243344,
Germany,Wiesbaden Germany,50.06308,8.243344,
Germany,Wiesbaden Germany,50.06308,8.243344,
Germany,Wiesbaden Germany,50.06308,8.243344,
